date,open,high,low,close,volume,is_anomaly
2025-03-27,63.15,63.49,62.3,62.67,372366,False
2025-04-03,61.01,61.45,60.02,60.21,2056032,False
2025-04-04,60.1,60.2,58.0,58.73,1222191,False
2025-04-07,58.02,58.02,52.86,55.08,1246275,False
2025-04-08,55.49,56.88,54.9,55.39,683299,False
2025-04-09,55.4,57.5,54.0,57.01,1164749,False
2025-04-10,61.0,62.5,59.25,62.22,2769592,False
2025-04-11,62.21,62.55,60.5,61.1,770243,False
2025-04-14,61.5,62.11,61.25,61.57,761078,False
2025-04-15,61.01,61.73,60.52,60.85,208560,False
2025-04-16,61.2,61.2,59.5,59.95,174425,False
2025-04-17,60.0,60.15,58.96,59.08,291874,False
2025-04-18,59.44,59.94,58.6,59.01,167217,False
2025-04-21,58.58,60.0,58.5,59.9,323518,False
2025-04-22,60.01,60.5,59.5,59.86,288469,False
2025-04-23,60.26,60.85,58.92,59.04,255847,False
2025-04-24,58.76,58.97,55.52,56.22,978248,False
2025-04-25,56.3,57.5,56.3,57.03,344044,False
2025-04-28,58.0,58.0,55.86,56.04,368124,False
2025-04-29,56.5,56.69,52.9,54.14,715458,False
2025-04-30,54.89,54.89,51.0,52.35,627105,False
2025-05-02,52.99,55.78,52.99,55.29,649655,False
2025-05-05,55.5,55.95,54.55,55.42,466608,False
2025-05-06,56.0,56.59,53.0,53.84,711832,False
2025-05-07,49.05,53.99,49.0,50.97,1064703,False
2025-05-08,51.66,53.48,45.87,46.37,2390248,False
2025-05-09,49.45,51.01,45.0,50.04,499750,False
2025-05-12,55.04,55.04,53.0,55.04,791003,False
2025-05-13,57.0,58.75,55.02,57.12,1257948,False
2025-05-14,57.5,57.5,56.26,57.08,579144,False
2025-05-15,57.0,58.25,57.0,57.34,339837,False
2025-05-16,57.49,57.79,56.98,57.02,174885,False
2025-05-19,57.02,59.75,57.02,58.76,1593975,False
2025-05-20,59.48,60.4,58.59,60.04,1507364,False
2025-05-21,60.44,60.44,59.25,59.87,361939,False
2025-05-22,60.02,61.61,59.5,59.7,1796966,False
2025-05-23,61.4,61.4,58.6,59.54,958771,False
2025-05-26,60.0,60.3,59.0,59.53,247817,False
2025-05-27,59.53,60.55,59.4,59.5,198202,False
2025-05-29,59.5,60.5,58.49,58.69,421637,False
2025-05-30,58.85,59.9,58.0,58.1,277418,False
2025-06-02,58.1,58.89,58.0,58.02,159268,False
2025-06-03,58.0,58.5,58.0,58.33,111436,False
2025-06-04,58.1,60.0,58.1,59.48,324147,False
2025-06-05,59.88,60.88,58.21,59.02,964603,False
2025-06-10,59.03,60.48,59.03,60.13,347872,False
2025-06-11,60.57,64.29,60.16,63.28,2687195,False
2025-06-12,63.3,64.3,62.09,62.17,1063518,False
2025-06-13,62.0,62.0,60.01,60.51,562347,False
2025-06-16,60.3,61.7,60.0,61.46,470272,False
2025-06-17,61.8,63.62,61.0,63.07,1478311,False
2025-06-18,63.4,66.0,61.1,62.2,3197787,False
2025-06-19,63.48,64.0,60.5,61.13,607349,False
2025-06-20,61.5,63.1,61.5,61.8,461116,False
2025-06-23,60.9,60.9,57.01,58.09,588510,False
2025-06-24,62.0,63.45,60.5,63.19,1018400,False
2025-06-25,63.49,65.0,62.15,64.1,744313,False
2025-06-26,64.0,64.6,62.71,64.19,494281,False
2025-06-27,64.3,66.66,63.2,65.92,1666858,False
2025-06-30,66.11,69.9,65.01,67.76,1954681,False
2025-07-01,68.1,70.0,66.86,67.28,912334,False
2025-07-02,67.0,69.9,66.7,67.33,1089931,False
2025-07-03,67.5,67.99,66.7,67.3,514648,False
2025-07-04,67.3,69.25,66.7,68.57,588727,False
2025-07-07,72.0,74.0,71.46,72.21,3094545,False
2025-07-08,72.5,73.0,70.25,71.21,1875332,False
2025-07-09,71.2,71.5,69.3,70.86,719977,False
2025-07-10,71.0,73.45,70.82,71.09,1306308,False
2025-07-11,71.5,73.0,70.1,71.92,957991,False
2025-07-14,73.0,73.75,72.0,72.82,1774398,False
2025-07-15,72.95,74.4,71.5,72.12,2611776,False
2025-07-16,72.12,72.5,70.25,72.28,855266,False
2025-07-17,72.2,73.49,72.0,73.01,710449,False
2025-07-18,73.06,73.39,70.9,70.99,280406,False
2025-07-21,71.97,71.98,69.01,69.33,595567,False
2025-07-22,69.35,70.38,68.01,68.44,467863,False
2025-07-23,68.5,69.25,67.0,67.78,375643,False
2025-07-24,67.9,68.46,67.3,68.12,297011,False
2025-07-25,68.56,70.68,68.11,69.98,423514,False
2025-07-28,71.5,73.3,70.51,72.53,952574,False
2025-07-29,72.8,79.4,72.3,75.69,5339947,False
2025-07-30,76.01,76.9,72.75,73.9,1625374,False
2025-07-31,75.1,81.06,74.9,78.25,3995813,False
2025-08-01,77.9,77.9,71.25,72.95,4318471,False
2025-08-04,72.65,72.95,70.32,71.91,1084636,False
2025-08-05,71.9,74.7,71.2,73.91,2430041,False
2025-08-06,74.5,78.0,73.0,74.38,2467530,False
2025-08-07,75.95,77.0,73.5,74.02,1130464,False
2025-08-08,75.0,76.5,73.48,75.42,1318562,False
2025-08-11,75.11,78.0,74.02,76.57,1089442,False
2025-08-12,76.58,77.1,75.0,75.1,601387,False
2025-08-13,75.8,75.95,74.0,74.22,341682,False
2025-08-15,74.87,75.0,73.0,73.31,405195,False
2025-08-18,73.56,74.44,73.31,73.5,243541,False
2025-08-19,73.62,74.34,73.62,73.97,367138,False
2025-08-20,74.39,74.59,73.42,74.22,417438,False
2025-08-21,75.45,75.45,72.7,72.89,636216,False
2025-08-22,72.8,73.49,72.49,72.55,273191,False
2025-08-25,72.55,72.55,71.5,71.98,281923,False
2025-08-26,72.0,72.2,70.8,71.66,505124,False
2025-08-27,71.8,71.98,71.01,71.23,171821,False
2025-08-28,71.0,71.0,69.9,70.54,294928,False
2025-08-29,70.9,71.25,70.5,70.79,191613,False
2025-09-01,70.8,71.65,70.7,71.43,216882,False
2025-09-02,71.75,72.75,71.5,71.57,571088,False
2025-09-03,71.8,72.05,71.05,71.71,293098,False
2025-09-04,71.5,72.15,71.0,71.53,272848,False
2025-09-05,71.6,72.0,71.0,71.52,410072,False
2025-09-08,71.45,72.0,70.0,70.62,985451,False
2025-09-09,70.62,72.3,70.5,70.65,1211072,False
2025-09-10,70.5,75.72,70.0,74.27,6031496,False
2025-09-11,76.0,81.7,75.0,79.45,6748681,False
2025-09-12,80.0,80.74,76.8,77.15,710946,False
2025-09-15,77.13,78.0,75.51,76.55,406031,False
2025-09-16,76.98,77.0,75.88,76.38,623850,False
2025-09-17,77.0,77.48,75.9,76.72,806637,False
2025-09-18,77.5,78.5,76.5,78.08,959319,False
2025-09-19,78.8,79.89,77.31,78.87,597509,False
2025-09-22,78.87,79.25,77.25,77.88,348781,False
2025-09-23,78.0,78.5,76.0,76.61,298604,False
2025-09-24,76.61,77.0,76.0,76.18,226527,False
2025-09-25,76.5,76.89,75.99,76.21,234067,False
2025-09-26,76.21,79.0,76.02,78.52,503931,False
2025-09-29,78.45,78.5,76.32,77.65,735419,False
2025-09-30,77.66,78.45,76.32,76.93,625887,False
2025-10-01,76.9,76.9,74.9,74.98,382696,False
2025-10-02,75.0,75.88,74.0,74.28,254157,False
2025-10-03,74.0,74.65,73.01,73.42,560611,False
2025-10-06,73.01,73.99,72.5,72.7,189579,False
2025-10-07,73.0,73.39,72.01,72.52,254693,False
2025-10-08,70.34,72.5,70.34,72.0,359102,False
2025-10-09,72.0,72.25,71.0,71.85,171889,False
2025-10-10,71.75,71.75,70.8,70.9,229827,False
2025-10-13,70.5,70.64,67.4,67.75,439281,False
2025-10-14,68.44,73.0,68.44,69.29,1381506,False
2025-10-15,69.99,72.5,69.89,71.04,1277814,False
2025-10-16,71.48,71.74,69.01,69.95,400235,False
2025-10-17,70.5,72.0,69.0,71.23,952901,False
2025-10-20,71.4,71.47,70.12,70.55,203029,False
2025-10-21,70.95,71.6,70.1,71.49,437961,False
2025-10-22,71.5,73.9,71.06,71.94,1024676,False
2025-10-23,72.0,77.49,71.6,76.13,2036036,False
2025-10-24,76.0,78.01,73.0,76.45,664422,False
2025-10-27,76.99,82.5,74.5,80.15,2890975,False
2025-10-28,81.49,85.8,78.01,80.09,3684730,False
2025-10-29,80.05,88.0,78.21,82.11,4231304,False
2025-10-30,82.9,84.0,79.01,80.44,733313,False
2025-10-31,81.5,83.5,80.12,82.69,1485502,False
2025-11-03,83.2,83.2,80.27,80.59,521219,False
2025-11-04,80.61,81.98,78.49,81.09,622308,False
2025-11-05,81.24,81.5,78.51,79.1,525264,False
2025-11-06,80.15,80.48,78.99,79.49,1109234,False
2025-11-07,79.01,80.0,78.1,78.63,333424,False
2025-11-10,79.5,79.98,78.6,78.75,87509,False
2025-11-11,78.12,79.0,74.0,75.68,393212,False
2025-11-12,75.0,77.0,74.4,74.82,372580,False
2025-11-13,75.0,76.99,75.0,76.52,262732,False
2025-11-14,77.0,77.5,76.0,76.51,112686,False
2025-11-17,75.11,76.97,75.11,76.37,521523,False
2025-11-18,76.15,77.49,76.15,76.89,477168,False
2025-11-19,76.99,77.35,76.25,76.59,265513,False
2025-11-20,77.01,78.0,76.5,76.83,200932,False
2025-11-21,77.5,77.5,74.99,75.16,134203,False
2025-11-24,75.9,75.9,73.85,74.7,508099,False
2025-11-25,75.5,76.01,73.91,75.2,482490,False
2025-11-26,75.94,75.94,73.6,74.92,319723,False
2025-11-27,75.5,77.64,75.02,76.27,364039,False
2025-11-28,76.5,79.1,76.01,77.96,365743,False
2025-12-01,78.0,79.25,77.0,78.9,257021,False
2025-12-02,79.29,79.9,78.0,78.14,162623,False
2025-12-03,78.59,78.9,76.49,76.6,96919,False
2025-12-04,77.0,77.6,76.04,76.19,102179,False
2025-12-05,76.52,77.99,76.0,76.64,452770,False
2025-12-08,77.01,78.49,76.64,76.88,377720,False
2025-12-09,77.01,79.0,76.51,78.37,237416,False
2025-12-10,78.45,79.95,78.0,78.92,380013,False
2025-12-11,78.9,79.0,76.81,78.68,230315,False
2025-12-12,78.68,78.9,77.66,78.09,72546,False
2025-12-15,78.2,78.69,77.95,78.15,313703,False
2025-12-16,78.77,80.5,77.8,78.0,1276254,False
2025-12-17,78.01,78.59,76.88,77.75,591201,False
2025-12-18,77.75,78.57,76.5,76.63,472143,False
2025-12-19,76.63,77.49,76.2,77.24,82300,False
2025-12-22,77.0,77.64,76.13,76.78,72507,False
2025-12-23,76.78,77.24,76.0,76.3,87535,False
2025-12-24,76.92,77.75,75.25,77.33,282797,False
2025-12-26,77.3,77.98,76.35,77.41,242095,False
2025-12-29,77.51,77.79,76.13,77.2,156796,False
2025-12-30,77.2,77.2,76.51,77.0,101870,False
2025-12-31,77.0,77.6,76.0,77.08,514014,False
2026-01-01,77.3,78.5,77.1,77.8,285787,False
2026-01-02,77.99,78.59,77.1,78.24,248398,False
2026-01-05,78.5,81.5,77.5,80.16,1397041,False
2026-01-06,80.25,83.0,79.22,82.61,1192995,False
2026-01-07,83.0,83.3,82.0,82.28,788962,False
2026-01-08,82.49,84.4,80.51,83.18,1434162,False
2026-01-09,83.18,84.99,81.12,84.49,1554222,False
2026-01-12,83.47,85.88,82.1,83.62,737753,False
2026-01-13,83.0,84.4,82.5,82.95,358495,False
2026-01-14,82.95,83.59,82.0,83.03,533218,False
2026-01-15,83.49,83.5,81.6,82.03,128537,False
2026-01-16,83.0,83.9,82.5,83.31,189277,False
2026-01-19,83.51,84.89,82.51,84.1,260801,False
2026-01-20,84.48,88.0,84.1,86.93,1109612,False
2026-01-21,88.0,88.0,84.16,84.54,1012708,False
2026-01-22,84.54,85.5,82.52,83.41,351462,False
2026-01-23,83.04,84.98,82.5,83.36,231502,False
2026-01-26,83.36,84.64,82.82,84.03,529458,False
2026-01-27,83.0,85.9,83.0,84.83,652358,False
2026-01-28,85.0,85.3,76.66,82.32,694043,False
2026-01-29,82.32,82.6,77.9,78.18,1021907,False
2026-01-30,79.0,86.0,78.25,83.32,2907730,False
2026-02-02,83.97,87.0,83.97,86.09,1388552,False
2026-02-03,87.0,94.7,86.31,94.7,5420112,False
2026-02-04,96.49,99.35,89.56,91.41,7406284,False
2026-02-06,91.5,92.97,89.0,92.17,1206039,False
2026-02-09,93.8,93.8,90.8,92.07,1404603,False
2026-02-10,92.4,92.9,90.04,90.84,1410687,False
2026-02-11,91.0,94.0,91.0,91.79,777754,False
2026-02-12,92.99,92.99,90.4,91.49,955653,False
2026-02-13,91.48,91.99,89.5,90.21,256720,False
2026-02-16,89.0,89.0,84.1,85.38,606363,False
2026-02-17,85.38,86.5,76.84,82.24,623340,False
2026-02-18,83.0,86.99,83.0,85.68,420382,False
2026-02-19,86.5,86.5,82.0,82.6,286496,False
2026-02-20,82.99,83.99,80.1,82.48,633838,False
2026-02-23,83.0,83.57,81.0,81.93,626267,False
2026-02-24,83.0,83.5,81.1,81.48,447194,False
2026-02-25,82.0,82.1,80.5,81.4,307139,False
2026-02-26,81.4,86.0,80.0,85.41,1008836,False
2026-02-27,84.5,88.0,84.0,85.66,205575,False
2026-03-02,78.01,84.0,77.09,77.09,649677,False
2026-03-03,71.11,78.58,71.1,77.92,925903,False
2026-03-04,77.99,80.48,75.21,78.47,521265,False
2026-03-05,79.99,83.44,79.0,81.89,273429,False
2026-03-06,81.99,81.99,75.31,76.1,586767,False
2026-03-09,71.07,79.79,68.5,69.78,316910,False
2026-03-10,72.0,76.76,72.0,76.76,309319,False
2026-03-11,79.38,81.0,76.5,78.72,355208,False
2026-03-12,78.5,80.0,76.0,77.65,262826,False
2026-03-13,79.0,79.0,76.01,78.13,57701,False
2026-03-16,78.49,78.49,76.78,77.93,169328,False
2026-03-17,77.93,79.0,76.0,76.69,57817,False
2026-03-18,76.0,78.99,76.0,77.07,90743,False
2026-03-19,76.01,77.4,75.99,76.98,88406,False
2026-03-24,79.0,79.49,76.51,77.5,175947,False
2026-03-25,78.74,83.0,77.05,81.88,911643,False
2026-03-26,78.56,80.99,77.9,78.52,566557,False
2026-03-27,77.03,80.0,77.03,78.22,1018127,False
2026-03-30,79.19,79.19,73.0,75.07,632634,False
2026-03-31,75.99,76.8,68.16,71.93,463420,False
2026-04-01,74.7,79.0,74.7,78.55,601013,False
2026-04-02,78.0,78.0,75.6,76.13,107094,False
2026-04-03,70.11,75.9,70.11,75.28,198807,False
2026-04-06,75.35,76.41,72.99,74.5,654954,False
2026-04-07,75.74,75.89,73.1,75.09,110100,False
2026-04-08,82.6,82.6,80.0,82.6,521854,False
2026-04-09,80.4,86.1,79.01,85.1,1434602,False
2026-04-10,85.75,86.5,82.0,83.0,1193931,False
2026-04-13,82.0,82.0,78.3,79.36,440859,False
2026-04-14,80.71,82.0,80.7,81.01,558438,False
2026-04-15,82.49,85.85,82.49,84.33,1078934,False
2026-04-16,84.98,85.99,83.02,84.24,172395,False
2026-04-17,86.0,86.0,83.12,83.98,878399,False
2026-04-20,83.44,84.48,80.0,82.0,523184,False
2026-04-21,82.3,83.49,81.7,82.31,978355,False
2026-04-22,83.88,83.88,80.8,81.06,246550,False
2026-04-23,81.06,81.55,79.92,80.36,178594,False
2026-04-24,80.0,81.0,79.01,80.13,193104,False
2026-04-27,80.02,85.0,80.02,83.95,645050,False
2026-04-28,81.0,84.1,81.0,84.0,989903,False
2026-04-29,83.01,84.5,82.01,82.36,1165320,False
2026-04-30,81.99,82.1,80.01,81.61,425123,False
2026-05-04,81.61,83.99,81.1,81.68,302447,False
2026-05-05,81.68,82.5,80.52,81.38,46468,False
2026-05-06,81.9,86.0,81.8,85.35,1707758,False
2026-05-07,85.0,85.5,82.12,84.0,588653,False
2026-05-08,83.0,84.5,82.02,83.64,118355,False
2026-05-11,80.1,83.5,80.1,83.06,415197,False
2026-05-12,82.83,83.95,81.66,82.47,116000,False
2026-05-13,83.85,83.85,81.52,81.86,66873,False
2026-05-14,82.0,83.0,80.01,80.59,733743,False
2026-05-15,80.98,81.9,79.7,81.04,214889,False
2026-05-18,81.04,81.48,78.51,79.49,87647,False
2026-05-19,80.94,80.94,78.0,79.19,165695,False
2026-05-20,79.9,80.55,78.55,80.03,37038,False
2026-05-21,81.0,81.64,78.99,79.48,543326,False
2026-05-22,80.0,80.99,79.5,80.32,156547,False
2026-05-25,82.0,83.5,81.0,82.89,463141,False
2026-05-29,82.27,83.0,81.46,81.98,276098,False
2026-06-01,82.97,82.97,81.0,81.31,127810,False
2026-06-02,80.75,81.92,79.01,80.99,142065,False
2026-06-03,80.99,81.92,80.9,81.03,80846,False
2026-06-04,80.7,84.0,80.6,81.67,5507939,False
2026-06-05,81.99,82.8,81.25,81.51,349690,False
2026-06-08,81.0,82.0,80.23,81.49,193134,False
2026-06-09,81.49,83.99,81.49,82.81,2202330,False
2026-06-10,82.99,84.57,82.51,84.49,853636,False
2026-06-11,84.49,84.49,83.53,84.01,787888,False
2026-06-12,84.02,88.0,84.02,87.32,2092821,False
2026-06-15,95.5,95.96,91.0,94.43,7502709,False
2026-06-16,94.5,96.25,92.56,93.23,3926816,False
2026-06-17,93.3,95.5,92.0,95.07,3516541,False
2026-06-18,95.0,96.49,94.5,94.72,2306933,False
2026-06-19,94.75,96.59,92.5,94.25,1931157,False
2026-06-22,95.25,95.9,93.5,93.95,1128191,False
2026-06-23,94.7,94.7,92.6,92.81,1589064,False
2026-06-24,97.47,101.38,96.2,99.58,9687570,False
2026-06-29,101.4,109.54,101.4,108.37,8329966,False
2026-06-30,109.36,110.5,107.13,107.54,2492615,False
2026-07-01,108.2,108.5,103.0,106.18,3212821,False
2026-07-02,106.0,107.75,105.0,106.04,1647462,False
2026-07-03,107.11,107.11,104.25,106.87,1342716,False
2026-07-06,107.0,109.2,105.05,108.0,1990831,False
2026-07-07,108.0,110.0,106.01,108.15,1602029,False
2026-07-08,107.0,107.7,102.5,103.74,1753288,False
2026-07-09,101.5,105.49,101.5,104.79,627345,False
2026-07-10,106.99,106.99,102.1,103.92,759116,False
2026-07-13,103.0,103.7,100.1,101.04,994248,False
2026-07-14,100.0,100.0,96.0,96.75,1570360,False
2026-07-15,96.65,100.3,96.65,98.35,574298,False
2026-07-16,98.5,104.0,98.4,102.83,1205233,False
2026-07-17,103.15,103.75,99.3,100.13,1466437,False
2026-07-20,99.0,100.78,98.0,100.46,310148,False
2026-07-21,101.01,104.25,99.5,101.87,712583,False
2026-07-22,101.95,102.6,99.6,99.9,604620,False
2026-07-23,100.0,101.4,96.7,97.91,561134,False
2026-07-24,97.91,99.5,96.36,98.07,394259,False
2026-07-27,99.01,101.9,99.01,101.5,447636,False
2026-07-28,102.5,104.9,101.6,104.16,1177407,False
2026-07-29,103.16,103.3,102.11,102.89,224862,False
2026-07-30,101.51,103.75,101.5,102.35,718005,False
2026-07-31,103.75,105.85,102.36,104.82,1648273,False
2026-08-03,106.4,106.5,104.01,104.61,622570,False
2026-08-04,104.99,106.0,103.0,103.88,1063295,False
2026-08-05,104.9,105.99,104.0,104.65,671072,False
2026-08-06,104.7,105.9,104.0,104.4,309203,False
2026-08-07,104.5,104.75,103.7,103.97,339463,False
2026-08-10,104.5,105.8,103.81,104.14,478763,False
2026-08-11,104.0,104.0,102.0,102.62,300678,False
2026-08-12,102.62,103.98,101.9,103.12,706156,False
2026-08-13,104.0,104.4,102.8,102.98,190216,False
2026-08-17,103.0,105.4,103.0,103.76,997662,False
2026-08-18,103.76,103.98,100.5,100.89,1009720,False
2026-08-19,100.75,102.0,99.1,99.72,441861,False
2026-08-20,100.01,102.8,99.9,100.6,241582,False
2026-08-21,100.6,102.5,99.9,100.04,1744510,False
2026-08-24,100.5,101.8,99.8,100.4,370510,False
2026-08-25,100.6,101.45,100.0,100.52,186120,False
2026-08-27,100.89,102.6,100.4,100.94,483738,False
2026-08-28,101.01,105.99,101.0,104.68,1212973,False
2026-08-31,105.0,109.94,103.12,108.67,1767235,False
2026-09-01,109.0,109.75,105.7,106.18,901474,False
2026-09-02,105.0,106.0,103.6,104.11,425562,False
2026-09-03,104.25,106.99,104.25,106.34,256573,False
2026-09-04,107.0,108.1,105.52,107.29,691174,False
2026-09-07,108.0,108.09,104.8,106.88,801902,False
2026-09-08,106.01,108.04,103.8,104.26,1046521,False
2026-09-09,104.51,105.99,104.26,104.99,806201,False
2026-09-10,105.8,107.88,99.6,100.32,3989452,False
2026-09-11,100.5,101.44,97.25,100.95,809005,False
