date,open,high,low,close,volume,is_anomaly
2025-09-19,688.0,692.0,685.01,687.79,186048,False
2025-09-22,692.0,692.0,682.01,686.72,203199,False
2025-09-23,687.0,690.0,687.0,689.54,130968,False
2025-09-24,689.54,693.97,689.54,690.78,158045,False
2025-09-25,692.0,694.67,690.8,692.59,396639,False
2025-09-26,694.5,705.11,693.0,704.48,438516,False
2025-09-29,706.0,726.45,706.0,724.48,477229,False
2025-09-30,727.0,744.95,727.0,739.63,508066,False
2025-10-01,740.98,744.0,723.0,726.9,866474,False
2025-10-02,729.0,734.55,727.0,734.1,232798,False
2025-10-03,739.0,739.0,731.0,736.2,384389,False
2025-10-06,737.0,739.01,730.3,733.2,398402,False
2025-10-07,705.01,725.0,705.01,708.79,611202,False
2025-10-08,708.79,715.0,690.0,709.72,348613,False
2025-10-09,707.0,716.0,707.0,711.71,189826,False
2025-10-10,710.0,718.45,706.01,707.93,347580,False
2025-10-13,705.0,705.0,682.08,691.4,555775,False
2025-10-14,695.0,717.0,695.0,715.59,185163,False
2025-10-15,719.0,732.0,715.0,719.06,629640,False
2025-10-16,724.0,725.25,708.0,711.26,438707,False
2025-10-17,662.5,662.5,644.01,645.7,475526,False
2025-10-20,644.0,644.0,628.0,629.79,419831,False
2025-10-21,629.79,639.0,627.9,632.14,281362,False
2025-10-22,632.15,635.9,629.5,630.19,208547,False
2025-10-23,629.0,633.88,620.0,625.49,245354,False
2025-10-24,621.01,626.25,620.88,621.43,112314,False
2025-10-27,620.91,621.5,609.75,610.84,230204,False
2025-10-28,610.7,615.58,597.0,602.61,458297,False
2025-10-29,606.97,606.97,598.01,599.81,293310,False
2025-10-30,598.01,603.0,589.0,590.34,278761,False
2025-10-31,592.9,600.0,584.76,595.01,351344,False
2025-11-03,600.0,613.0,595.0,600.43,277330,False
2025-11-04,602.0,605.0,594.0,594.88,259726,False
2025-11-05,594.88,600.0,590.75,591.96,217047,False
2025-11-06,596.99,596.99,590.0,590.86,83496,False
2025-11-07,592.2,595.98,587.01,593.1,135183,False
2025-11-10,598.9,598.9,593.0,595.5,131768,False
2025-11-11,595.05,596.0,587.52,589.85,287160,False
2025-11-12,590.65,598.0,587.02,593.66,128883,False
2025-11-13,595.98,598.0,593.7,597.23,119200,False
2025-11-14,595.01,614.0,595.01,611.51,285187,False
2025-11-17,614.0,618.0,601.0,613.17,234226,False
2025-11-18,613.7,628.17,608.1,625.08,315862,False
2025-11-19,626.0,638.0,625.5,627.06,326665,False
2025-11-20,635.0,635.0,619.0,622.17,159593,False
2025-11-21,625.0,625.5,615.99,618.1,190339,False
2025-11-24,618.1,621.5,602.0,602.99,470818,False
2025-11-25,603.0,611.0,603.0,609.63,273875,False
2025-11-26,605.25,611.45,605.25,607.82,154113,False
2025-11-27,608.01,615.0,607.0,614.08,97540,False
2025-11-28,616.96,620.03,614.01,618.58,133475,False
2025-12-01,620.01,624.2,618.65,620.21,103174,False
2025-12-02,621.0,626.49,615.2,622.86,163178,False
2025-12-03,622.87,625.01,614.0,616.26,181765,False
2025-12-04,616.0,618.0,612.1,615.08,62023,False
2025-12-05,623.0,623.0,615.0,616.0,171014,False
2025-12-08,619.99,619.99,614.1,617.33,68833,False
2025-12-09,619.0,620.98,618.01,619.7,93106,False
2025-12-10,622.0,623.89,620.5,620.89,81879,False
2025-12-11,615.01,620.5,615.01,617.01,68222,False
2025-12-12,618.0,620.97,615.0,619.52,151585,False
2025-12-15,623.0,624.48,619.6,622.16,87526,False
2025-12-16,625.0,625.56,616.76,617.47,157423,False
2025-12-17,618.0,619.99,613.5,614.25,257534,False
2025-12-18,617.0,618.0,611.0,615.28,284629,False
2025-12-19,615.51,617.52,610.0,611.1,128068,False
2025-12-22,611.1,615.99,610.0,610.45,86211,False
2025-12-23,603.0,613.0,603.0,608.41,90438,False
2025-12-24,611.58,611.58,608.0,608.62,95220,False
2025-12-26,608.0,610.01,605.9,609.14,106037,False
2025-12-29,612.0,612.0,600.06,604.24,387313,False
2025-12-30,604.5,610.0,604.5,607.41,151597,False
2025-12-31,606.0,609.95,606.0,608.51,75207,False
2026-01-01,610.0,616.0,607.0,614.51,128535,False
2026-01-02,614.0,624.8,614.0,622.32,189484,False
2026-01-05,624.99,635.0,624.99,629.64,269183,False
2026-01-06,629.7,644.99,625.01,643.56,339424,False
2026-01-07,645.0,648.0,637.26,641.32,222278,False
2026-01-08,641.0,646.0,639.02,642.35,402371,False
2026-01-09,640.0,645.5,636.99,642.8,415782,False
2026-01-12,642.8,643.0,636.26,638.37,238512,False
2026-01-13,641.0,641.0,636.01,639.21,100066,False
2026-01-14,639.0,643.0,632.21,634.94,400123,False
2026-01-15,638.0,639.79,626.0,630.53,214288,False
2026-01-16,632.11,636.0,623.0,627.39,695323,False
2026-01-19,628.01,632.0,625.0,631.06,2447068,False
2026-01-20,634.0,634.0,625.99,627.31,518542,False
2026-01-21,627.5,634.0,625.15,626.16,2245559,False
2026-01-22,626.25,632.34,625.98,627.0,798426,False
2026-01-23,631.16,684.5,630.26,671.18,3613948,False
2026-01-26,671.18,674.5,659.19,660.78,1023131,False
2026-01-27,659.0,664.5,654.25,660.76,297406,False
2026-01-28,664.07,678.74,664.07,674.53,1484802,False
2026-01-29,676.9,677.0,647.0,654.23,1023309,False
2026-01-30,650.0,661.01,640.0,644.61,981958,False
2026-02-02,646.0,656.0,637.91,653.25,528116,False
2026-02-03,653.3,663.0,649.0,651.65,322646,False
2026-02-04,651.65,657.0,648.0,653.89,221081,False
2026-02-06,653.0,653.8,645.0,647.87,122311,False
2026-02-09,648.01,655.5,643.8,646.4,304210,False
2026-02-10,650.0,652.4,646.01,647.53,89563,False
2026-02-11,651.88,652.4,648.0,649.81,160398,False
2026-02-12,649.0,651.99,640.0,643.27,177591,False
2026-02-13,642.0,644.5,637.0,638.91,186777,False
2026-02-16,638.0,644.88,632.06,637.8,231723,False
2026-02-17,632.0,641.89,630.96,634.08,240857,False
2026-02-18,640.0,640.0,626.3,627.7,1715833,False
2026-02-19,628.0,632.0,612.0,617.02,407503,False
2026-02-20,617.0,629.99,608.0,625.65,477056,False
2026-02-23,625.0,626.99,615.01,619.03,126496,False
2026-02-24,626.0,639.99,620.01,636.13,539973,False
2026-02-25,635.0,644.99,635.0,635.12,295082,False
2026-02-26,642.0,650.99,634.0,649.95,623918,False
2026-02-27,645.0,665.0,630.0,657.64,465868,False
2026-03-02,620.0,651.0,620.0,630.1,1123362,False
2026-03-03,630.0,670.0,630.0,663.78,858967,False
2026-03-04,663.78,667.99,655.0,656.93,537854,False
2026-03-05,656.93,684.44,656.0,678.52,1104187,False
2026-03-06,652.37,653.5,635.0,636.72,501900,False
2026-03-09,649.99,650.0,608.7,629.72,600370,False
2026-03-10,640.0,650.0,626.0,629.12,796640,False
2026-03-11,630.0,637.1,619.01,621.25,153028,False
2026-03-12,620.0,630.5,610.56,623.58,178746,False
2026-03-13,625.02,629.34,620.0,621.56,191692,False
2026-03-16,621.56,627.0,611.0,614.21,207317,False
2026-03-17,619.92,622.95,611.0,618.71,124412,False
2026-03-18,623.0,645.5,615.01,641.3,429005,False
2026-03-19,641.3,642.0,630.01,637.38,216829,False
2026-03-24,640.0,646.0,636.25,640.13,370642,False
2026-03-25,640.13,643.0,637.0,640.28,650171,False
2026-03-26,639.99,642.0,628.0,630.88,151206,False
2026-03-27,626.0,632.9,624.01,626.82,148293,False
2026-03-30,629.0,637.0,615.0,620.1,200632,False
2026-03-31,621.5,629.5,618.0,620.41,144133,False
2026-04-01,629.0,640.0,620.0,629.29,195984,False
2026-04-02,628.0,632.7,620.01,628.89,129259,False
2026-04-03,622.6,652.5,622.6,641.22,345131,False
2026-04-06,638.0,643.0,635.01,637.36,214447,False
2026-04-07,636.0,643.98,632.0,637.84,111300,False
2026-04-08,675.0,675.0,644.0,665.01,1564601,False
2026-04-09,660.0,662.74,650.2,658.17,347196,False
2026-04-10,655.01,663.0,655.0,657.73,100575,False
2026-04-13,650.0,653.0,640.0,645.74,201309,False
2026-04-14,660.0,660.0,650.0,651.39,120260,False
2026-04-15,656.0,664.9,654.0,655.26,209624,False
2026-04-16,659.88,662.0,654.25,658.87,247918,False
2026-04-17,659.99,667.0,655.03,663.94,205173,False
2026-04-20,663.94,663.94,650.1,659.64,220279,False
2026-04-21,659.55,660.99,651.0,652.87,344740,False
2026-04-22,652.0,657.98,651.1,654.87,59030,False
2026-04-23,654.87,655.75,651.0,653.82,48552,False
2026-04-24,653.82,663.0,641.0,660.36,138775,False
2026-04-27,659.98,664.6,657.5,659.86,57620,False
2026-04-28,655.4,670.0,655.07,669.0,271456,False
2026-04-29,669.97,672.5,662.0,667.92,223692,False
2026-04-30,668.0,668.0,654.0,664.74,203766,False
2026-05-04,665.75,677.0,655.51,658.49,599636,False
2026-05-05,655.0,668.0,654.0,662.29,184392,False
2026-05-06,667.97,674.0,661.5,663.6,541367,False
2026-05-07,667.0,668.5,662.0,663.47,215894,False
2026-05-08,663.47,663.47,656.79,657.58,170874,False
2026-05-11,657.1,660.95,654.0,658.41,62274,False
2026-05-12,658.4,660.0,656.51,657.28,36825,False
2026-05-13,655.1,660.0,654.5,659.62,168427,False
2026-05-14,656.16,660.0,656.16,656.76,74852,False
2026-05-15,656.0,662.0,655.16,660.51,97823,False
2026-05-18,660.0,660.0,655.0,655.66,99627,False
2026-05-19,655.0,662.62,655.0,659.72,91566,False
2026-05-20,661.0,661.0,656.6,659.01,81007,False
2026-05-21,659.01,663.74,657.0,658.63,167285,False
2026-05-22,660.99,660.99,657.0,657.95,295785,False
2026-05-25,661.99,662.74,657.3,659.82,257990,False
2026-05-29,660.0,667.02,659.33,664.18,148353,False
2026-06-01,664.18,671.45,663.2,667.52,125311,False
2026-06-02,667.0,673.0,667.0,670.92,152339,False
2026-06-03,671.0,672.25,667.07,671.28,112526,False
2026-06-04,672.0,675.0,671.5,674.87,81212,False
2026-06-05,676.5,679.9,674.5,676.54,128130,False
2026-06-08,670.0,676.99,665.03,674.84,63722,False
2026-06-09,675.0,677.0,673.16,675.05,80979,False
2026-06-10,675.05,682.9,673.25,679.87,233172,False
2026-06-11,677.0,694.89,677.0,692.59,334297,False
2026-06-12,694.82,705.0,694.81,697.3,392394,False
2026-06-15,703.75,710.0,695.0,699.48,352223,False
2026-06-16,702.0,704.0,695.0,700.26,104234,False
2026-06-17,704.0,704.0,695.3,698.1,89989,False
2026-06-18,700.0,701.0,695.85,698.93,170803,False
2026-06-19,697.6,700.0,683.03,693.77,99109,False
2026-06-22,695.0,699.0,685.0,687.08,94430,False
2026-06-23,691.0,696.0,684.0,689.72,224233,False
2026-06-24,691.12,695.0,687.0,691.99,183372,False
2026-06-29,693.0,705.9,692.0,692.82,306920,False
2026-06-30,695.0,698.0,686.88,687.91,161748,False
2026-07-01,687.0,693.0,686.0,687.9,160000,False
2026-07-02,692.0,692.0,685.03,685.61,152251,False
2026-07-03,687.0,687.0,683.85,685.8,112344,False
2026-07-06,685.8,688.0,683.05,685.05,321617,False
2026-07-07,687.0,690.0,684.2,685.22,141271,False
2026-07-08,685.0,689.0,682.0,683.42,172060,False
2026-07-09,679.99,684.0,678.5,682.8,127512,False
2026-07-10,682.0,686.0,681.0,682.49,338493,False
2026-07-13,680.01,684.9,679.01,679.72,96455,False
2026-07-14,679.5,679.5,674.0,675.53,182948,False
2026-07-15,675.5,681.0,675.5,676.06,102089,False
2026-07-16,678.87,683.97,678.87,682.67,79451,False
2026-07-17,680.26,682.48,678.01,679.21,123537,False
2026-07-20,678.25,682.74,674.66,682.24,37631,False
2026-07-21,682.24,688.0,682.24,683.91,84204,False
2026-07-22,683.91,687.99,675.0,675.75,219152,False
2026-07-23,677.49,680.97,671.0,672.12,97568,False
2026-07-24,672.1,675.0,668.2,670.02,130346,False
2026-07-27,679.8,684.5,676.0,682.24,90176,False
2026-07-28,685.95,687.5,682.25,684.19,103303,False
2026-07-29,683.0,686.0,682.0,685.41,75016,False
2026-07-30,680.0,686.0,680.0,683.0,99390,False
2026-07-31,683.0,693.0,683.0,686.98,163661,False
2026-08-03,690.0,694.0,687.0,687.97,135900,False
2026-08-04,692.7,692.7,687.01,688.01,261886,False
2026-08-05,690.1,692.0,687.6,688.27,214870,False
2026-08-06,690.0,692.8,688.0,689.72,315522,False
2026-08-07,691.49,693.5,687.5,688.63,459007,False
2026-08-10,691.87,699.0,691.87,695.02,337115,False
2026-08-11,695.0,705.0,694.5,700.88,755727,False
2026-08-12,695.01,728.0,695.01,724.4,913117,False
2026-08-13,730.0,730.0,710.01,716.34,344685,False
2026-08-17,722.49,722.5,716.8,721.7,293780,False
2026-08-18,722.0,723.0,715.05,717.39,182526,False
2026-08-19,716.0,721.88,712.5,715.12,196704,False
2026-08-20,715.12,720.09,714.3,718.04,204478,False
2026-08-21,719.98,719.98,709.0,717.8,378874,False
2026-08-24,724.99,726.0,715.0,719.41,530713,False
2026-08-25,723.9,724.99,717.0,722.89,214891,False
2026-08-27,748.0,765.0,745.0,747.47,1261270,False
2026-08-28,750.0,750.99,738.5,739.4,439594,False
2026-08-31,739.0,742.0,732.85,734.56,194446,False
2026-09-01,736.0,737.68,729.03,730.04,205978,False
2026-09-02,729.95,733.0,725.14,729.3,142813,False
2026-09-03,734.89,734.89,729.7,731.57,78273,False
2026-09-04,733.0,733.0,726.0,730.21,100967,False
2026-09-07,732.0,732.0,726.5,729.38,108430,False
2026-09-08,729.01,730.7,726.5,727.21,150170,False
2026-09-09,728.2,731.99,727.5,729.58,96419,False
2026-09-10,730.96,730.96,725.51,726.26,109095,False
2026-09-11,725.51,725.51,713.0,715.84,795496,False
