date,open,high,low,close,volume,is_anomaly
2025-11-17,173.5,175.5,173.5,174.67,52288,False
2025-11-18,175.67,178.0,173.0,173.46,106943,False
2025-11-19,174.99,175.0,172.8,173.05,27131,False
2025-11-20,173.01,177.0,172.01,174.1,122065,False
2025-11-21,174.99,177.0,173.01,174.77,49679,False
2025-11-24,176.48,176.5,175.0,175.67,14636,False
2025-11-25,176.48,176.93,174.75,175.48,16933,False
2025-11-26,174.24,177.45,173.1,175.7,27260,False
2025-11-27,176.0,178.0,175.02,177.73,33940,False
2025-11-28,177.74,181.2,177.73,180.85,38380,False
2025-12-01,184.44,184.44,181.0,182.57,76333,False
2025-12-02,182.57,184.88,181.61,182.39,29583,False
2025-12-03,183.0,184.0,179.0,179.64,63576,False
2025-12-04,178.11,180.99,178.11,179.99,41052,False
2025-12-05,180.0,182.98,178.5,178.89,38087,False
2025-12-08,180.05,182.0,179.0,181.69,34230,False
2025-12-09,181.69,184.0,181.0,182.96,96730,False
2025-12-10,183.89,183.89,182.01,183.04,32763,False
2025-12-11,181.27,184.0,181.27,182.73,11633,False
2025-12-12,182.5,183.0,176.0,181.87,28533,False
2025-12-15,182.74,182.96,179.8,180.09,145130,False
2025-12-16,179.01,181.87,177.8,179.81,62801,False
2025-12-17,181.0,181.0,177.02,179.96,64363,False
2025-12-18,180.99,183.7,180.55,182.58,148398,False
2025-12-19,182.82,182.82,180.0,180.41,29559,False
2025-12-22,181.52,181.99,178.57,180.26,26428,False
2025-12-23,180.26,181.98,179.0,180.54,33682,False
2025-12-24,179.57,182.78,179.06,181.07,34646,False
2025-12-26,181.47,182.4,180.0,182.09,83908,False
2025-12-29,182.09,183.84,180.01,182.67,53889,False
2025-12-30,183.25,183.25,182.5,183.01,30191,False
2025-12-31,182.5,184.0,180.0,182.77,164272,False
2026-01-01,182.7,186.0,182.0,185.37,133789,False
2026-01-02,187.0,190.5,186.77,189.54,126515,False
2026-01-05,189.54,199.5,189.54,195.9,329069,False
2026-01-06,196.0,199.71,191.03,198.05,254271,False
2026-01-07,199.7,199.7,194.36,198.14,108840,False
2026-01-08,199.88,204.0,197.69,202.38,199440,False
2026-01-09,202.5,204.9,200.0,200.37,113962,False
2026-01-12,202.0,202.0,196.95,197.05,133942,False
2026-01-13,197.06,199.0,194.1,197.82,123182,False
2026-01-14,198.0,199.0,196.0,197.34,36685,False
2026-01-15,195.0,197.0,193.48,193.7,63873,False
2026-01-16,193.7,199.98,193.7,198.47,102681,False
2026-01-19,199.0,200.99,198.0,199.94,86331,False
2026-01-20,199.9,210.99,198.0,207.36,302599,False
2026-01-21,208.41,215.0,206.5,208.56,228045,False
2026-01-22,210.9,210.9,205.95,206.62,48963,False
2026-01-23,206.62,208.44,200.01,203.57,70652,False
2026-01-26,201.57,204.97,201.0,202.64,42898,False
2026-01-27,204.0,205.0,202.02,202.96,41629,False
2026-01-28,203.0,203.0,202.0,202.54,13671,False
2026-01-29,206.0,206.0,198.1,199.36,137995,False
2026-01-30,199.39,204.0,197.0,199.87,37554,False
2026-02-02,199.87,202.0,197.0,197.99,46307,False
2026-02-03,198.0,201.9,198.0,201.17,97478,False
2026-02-04,201.2,205.59,201.17,204.96,76889,False
2026-02-06,205.6,205.61,197.0,200.04,77172,False
2026-02-09,200.11,202.49,196.0,196.29,50793,False
2026-02-10,197.0,198.0,194.5,197.04,45836,False
2026-02-11,197.25,197.9,187.2,196.58,61930,False
2026-02-12,197.96,197.96,190.0,193.46,47364,False
2026-02-13,197.89,197.89,188.0,193.57,54534,False
2026-02-16,193.0,193.0,178.0,178.84,220749,False
2026-02-17,179.99,181.99,173.11,175.39,325184,False
2026-02-18,175.1,185.0,175.1,184.23,103923,False
2026-02-19,184.8,186.91,176.05,178.17,91667,False
2026-02-20,183.99,183.99,174.0,178.63,16237,False
2026-02-23,182.49,182.49,174.0,174.99,39699,False
2026-02-24,176.99,177.0,166.0,171.98,47803,False
2026-02-25,172.5,179.0,172.11,172.71,49108,False
2026-02-26,173.5,175.25,171.07,175.0,41129,False
2026-02-27,174.7,178.3,174.0,174.65,49361,False
2026-03-02,170.0,171.0,157.19,157.86,1046044,False
2026-03-03,152.05,171.95,152.05,171.08,101710,False
2026-03-04,171.0,174.35,168.0,169.15,123491,False
2026-03-05,168.0,175.98,168.0,175.42,20320,False
2026-03-06,175.42,177.49,170.0,170.38,42772,False
2026-03-09,169.16,175.3,153.51,166.41,131507,False
2026-03-10,172.0,178.0,170.0,170.08,174881,False
2026-03-11,174.94,175.01,170.31,172.34,16466,False
2026-03-12,172.34,173.0,169.05,170.78,45750,False
2026-03-13,170.79,171.73,160.1,170.91,57507,False
2026-03-16,170.91,178.98,170.0,170.01,52627,False
2026-03-17,169.99,171.0,166.0,170.01,254042,False
2026-03-18,173.98,173.98,170.0,170.07,68169,False
2026-03-19,170.08,171.92,169.5,170.03,79711,False
2026-03-24,171.0,174.0,170.0,171.7,9566,False
2026-03-25,173.0,173.0,170.01,171.42,33830,False
2026-03-26,171.01,172.0,170.0,170.02,59841,False
2026-03-27,170.0,171.52,170.0,170.67,30979,False
2026-03-30,170.67,174.99,166.12,167.93,96980,False
2026-03-31,168.99,172.0,168.99,171.83,17163,False
2026-04-01,171.83,177.8,171.83,174.84,54800,False
2026-04-02,172.95,173.01,170.0,171.86,29268,False
2026-04-03,171.86,179.89,167.02,171.09,15899,False
2026-04-06,171.09,173.99,166.5,171.08,24488,False
2026-04-07,171.0,175.0,170.0,173.84,17678,False
2026-04-08,177.11,189.0,177.1,186.39,226586,False
2026-04-09,187.0,187.0,178.0,181.2,102488,False
2026-04-10,182.98,184.85,176.11,180.22,43537,False
2026-04-13,176.01,179.98,175.15,176.68,31558,False
2026-04-14,177.99,179.47,177.01,178.33,24371,False
2026-04-15,188.8,188.8,180.1,181.53,48272,False
2026-04-16,182.01,184.0,181.0,182.81,36614,False
2026-04-17,184.98,185.9,182.01,185.28,65301,False
2026-04-20,185.0,185.0,180.02,181.73,34348,False
2026-04-21,182.5,186.5,182.5,184.36,110615,False
2026-04-22,184.36,185.99,183.12,185.27,73294,False
2026-04-23,185.0,185.7,182.85,185.01,76746,False
2026-04-24,184.45,184.45,181.25,183.89,31062,False
2026-04-27,183.89,184.75,182.0,183.23,49586,False
2026-04-28,182.95,185.0,182.95,184.42,106479,False
2026-04-29,185.5,185.95,183.03,184.39,26941,False
2026-04-30,180.4,183.89,173.0,180.71,56244,False
2026-05-04,179.94,184.9,178.0,178.87,36168,False
2026-05-05,181.0,181.97,176.0,178.99,37186,False
2026-05-06,180.7,184.0,179.02,182.69,29431,False
2026-05-07,184.0,184.0,180.0,181.33,56578,False
2026-05-08,181.33,183.0,180.05,180.97,14436,False
2026-05-11,180.0,181.95,179.0,180.26,16464,False
2026-05-12,181.49,181.89,178.95,179.16,23957,False
2026-05-13,180.99,180.99,179.0,179.79,7110,False
2026-05-14,180.0,180.0,178.5,178.68,10213,False
2026-05-15,178.3,181.5,177.02,178.99,44424,False
2026-05-18,178.0,179.0,170.05,176.73,25275,False
2026-05-19,177.01,179.0,177.01,178.99,71794,False
2026-05-20,180.9,180.9,178.0,179.13,20039,False
2026-05-21,180.99,183.9,179.0,179.89,98080,False
2026-05-22,181.88,181.88,179.0,179.87,29445,False
2026-05-25,182.99,182.99,179.88,181.35,34318,False
2026-05-29,181.95,182.5,180.02,180.77,45767,False
2026-06-01,182.0,182.49,178.01,180.11,12317,False
2026-06-02,181.4,181.4,178.01,180.2,13893,False
2026-06-03,180.95,180.95,170.1,180.01,21611,False
2026-06-04,178.81,183.0,178.81,182.4,47496,False
2026-06-05,182.3,186.0,180.36,181.82,18251,False
2026-06-08,181.82,181.82,178.5,180.24,12116,False
2026-06-09,182.0,182.0,180.07,180.8,20565,False
2026-06-10,181.0,181.0,177.5,177.87,62016,False
2026-06-11,179.5,180.31,178.01,179.51,2570,False
2026-06-12,180.49,183.0,179.51,181.91,54950,False
2026-06-15,184.98,184.98,180.02,182.49,49375,False
2026-06-16,182.98,186.2,182.5,184.74,59114,False
2026-06-17,188.11,188.11,185.0,186.12,35163,False
2026-06-18,186.98,192.89,185.0,188.56,102537,False
2026-06-19,188.56,190.5,185.0,186.22,36470,False
2026-06-22,186.22,186.95,183.5,183.72,54337,False
2026-06-23,185.7,185.7,178.01,179.02,142986,False
2026-06-24,180.43,181.94,178.99,179.19,160016,False
2026-06-29,179.3,181.38,176.99,177.73,139970,False
2026-06-30,178.25,179.89,175.0,177.7,173038,False
2026-07-01,177.06,185.0,176.03,183.65,206927,False
2026-07-02,184.0,186.15,183.51,183.96,53175,False
2026-07-03,184.0,189.98,183.25,186.25,111382,False
2026-07-06,186.25,191.0,185.0,189.82,107811,False
2026-07-07,190.8,192.0,187.5,188.7,86583,False
2026-07-08,188.65,191.0,182.06,185.01,124390,False
2026-07-09,185.69,190.0,181.25,185.77,49544,False
2026-07-10,189.06,189.89,185.02,186.13,49325,False
2026-07-13,185.99,188.89,184.02,186.94,64802,False
2026-07-14,186.4,186.4,179.0,179.37,92172,False
2026-07-15,183.93,185.0,180.0,180.75,41711,False
2026-07-16,181.99,182.92,179.0,180.69,111656,False
2026-07-17,180.75,182.0,179.01,180.03,39925,False
2026-07-20,180.03,180.47,176.9,177.15,219578,False
2026-07-21,179.99,180.0,177.5,178.02,30492,False
2026-07-22,177.01,178.94,175.0,177.55,38227,False
2026-07-23,178.0,178.9,175.5,175.63,20972,False
2026-07-24,175.64,177.93,172.02,175.04,28186,False
2026-07-27,177.99,180.0,177.99,179.44,44091,False
2026-07-28,179.99,179.99,177.9,178.72,18101,False
2026-07-29,177.9,178.98,176.0,176.91,24865,False
2026-07-30,176.91,180.0,176.91,177.78,23049,False
2026-07-31,177.5,179.0,176.95,177.45,28337,False
2026-08-03,178.0,178.99,177.07,178.04,15607,False
2026-08-04,178.04,178.74,175.0,176.3,33976,False
2026-08-05,177.97,179.9,177.11,179.06,30682,False
2026-08-06,179.5,181.99,178.13,180.86,64412,False
2026-08-07,179.02,181.78,178.49,179.99,10685,False
2026-08-10,180.74,181.35,177.92,178.07,110085,False
2026-08-11,178.99,179.0,177.61,177.93,32357,False
2026-08-12,178.99,182.0,178.0,178.3,218757,False
2026-08-13,178.99,180.0,177.5,178.16,54923,False
2026-08-17,178.74,180.0,177.5,178.0,41492,False
2026-08-18,178.0,180.0,177.0,177.99,113689,False
2026-08-19,177.98,179.25,176.51,177.53,51157,False
2026-08-20,177.99,178.0,175.45,176.0,47092,False
2026-08-21,177.96,177.96,175.0,175.79,60796,False
2026-08-24,175.8,177.0,175.0,175.72,32120,False
2026-08-25,176.99,177.0,172.95,173.02,174920,False
2026-08-27,173.62,175.72,170.02,171.25,244736,False
2026-08-28,168.19,171.0,166.5,169.47,2268999,False
2026-08-31,170.0,171.0,169.0,169.53,172770,False
2026-09-01,169.55,171.1,169.55,170.34,105280,False
2026-09-02,170.34,171.9,169.5,170.58,95389,False
2026-09-03,171.47,173.98,170.04,170.76,76038,False
2026-09-04,170.76,172.9,170.01,171.21,23071,False
2026-09-07,172.0,172.0,168.51,169.63,71789,False
2026-09-08,170.0,171.94,169.0,169.21,35760,False
2026-09-09,170.89,171.0,169.22,170.05,32284,False
2026-09-10,170.98,170.98,169.0,169.51,54588,False
2026-09-11,167.0,170.95,166.0,170.21,54997,False
